#{"t_start": 1771538873.620377, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
55.0,1427,2.281735
95.0,1235,2.626901
90.0,1421,3.095549
185.0,1873,3.586146
35.0,1311,3.925632
45.0,1171,4.231121
110.0,2187,4.828663
170.0,2571,5.539622
140.0,1529,5.940231
105.0,1761,6.398465
210.0,2367,6.991766
170.0,2977,7.83939
180.0,1941,8.34403
75.0,1697,8.786148
140.0,1939,9.289091
15.0,1153,9.600572
185.0,1939,10.104568
230.0,3491,11.079128
110.0,1763,11.532823
55.0,1117,11.826302
135.0,1645,12.250689
135.0,2207,12.910484
120.0,2141,13.460155
180.0,2441,14.091111
100.0,1947,14.605985
210.0,3227,15.443092
160.0,1819,15.925671
440.0,2831,16.726273
110.0,1703,17.188546
105.0,1525,17.619589
95.0,1879,18.18696
225.0,2599,18.868617
105.0,2113,19.425542
110.0,1775,19.890978
65.0,1861,20.374392
110.0,1757,20.822693
70.0,1873,21.309599
185.0,2379,21.946186
85.0,1121,22.271146
495.0,2899,23.154841
80.0,1565,23.573543
80.0,1161,23.883826
30.0,1421,24.279487
440.0,3975,25.285413
155.0,2443,25.912739
105.0,1613,26.340937
70.0,1149,26.631063
240.0,2497,27.312378
65.0,1455,27.836677
55.0,1263,28.285102
65.0,1861,28.772309
185.0,2273,29.393874
125.0,2051,33.492498
120.0,1901,34.054408
30.0,1617,34.502034
455.0,3015,35.277609
55.0,1217,35.595898
310.0,2277,36.187832
50.0,1179,36.497936
330.0,2251,37.106581
45.0,1147,37.41387
55.0,1665,37.982216
85.0,1633,38.424994
125.0,1455,38.791897
155.0,1977,39.340289
135.0,1909,39.88452
120.0,2203,40.463903
45.0,1477,40.843364
15.0,1205,41.158761
50.0,1507,41.548257
375.0,3535,42.469198
305.0,2585,43.262595
285.0,3495,44.13371
30.0,1179,44.443756
155.0,1895,44.935343
110.0,1867,45.47099
490.0,3633,46.39325
260.0,3509,47.320494
35.0,1431,47.75824
60.0,1297,48.131213
300.0,3747,49.083441
355.0,2473,49.856856
130.0,1945,50.361708
105.0,1943,50.907696
55.0,1493,51.317832
135.0,2299,51.904694
45.0,1491,52.303278
135.0,2259,53.021381
215.0,2703,53.708914
350.0,3569,54.625215
135.0,1985,55.144048
440.0,3423,56.023571
350.0,2863,56.813861
260.0,2785,57.52627
65.0,1383,57.983485
180.0,1999,58.489868
110.0,2245,59.0739
50.0,1285,59.40597
225.0,2509,60.043364
200.0,2767,60.73282
50.0,1493,64.189753
60.0,1623,64.609526
240.0,2599,65.319046
275.0,3349,66.176745
60.0,1545,66.582742
95.0,1847,67.076138
200.0,2057,67.6606
45.0,1297,68.186382
185.0,2181,68.760864
50.0,1461,69.153085
210.0,2421,69.759343
180.0,2339,70.360791
65.0,1705,70.797408
130.0,1485,71.204356
180.0,1977,71.724506
80.0,1125,72.009729
75.0,1073,72.292285
120.0,1991,72.897269
195.0,2339,73.507014
255.0,3341,74.433538
45.0,1489,74.823366
415.0,2385,75.439732
105.0,1925,75.924905
45.0,1377,76.278103
60.0,1619,76.694218
140.0,1539,77.097596
180.0,1871,77.605532
65.0,1357,78.031265
125.0,1871,78.51088
410.0,2421,79.119594
120.0,1555,79.564307
105.0,1961,80.126488
130.0,1909,80.621833
65.0,1179,80.923176
120.0,1713,81.361476
110.0,1531,81.76604
90.0,1405,82.129336
155.0,2477,82.850588
5.0,1583,83.258353
80.0,1863,83.746604
135.0,1951,84.256816
160.0,3331,85.122887
350.0,2431,85.834611
205.0,2871,86.587879
110.0,2075,87.118618
135.0,2079,87.705238
120.0,1811,88.244824
430.0,3277,89.074615
100.0,1445,89.568594
65.0,1443,89.946584
50.0,2147,90.501292
110.0,1443,90.892394
30.0,1775,91.409541
260.0,3121,94.358024
70.0,1161,94.669622
105.0,1151,94.967864
495.0,3143,95.758267
80.0,1273,96.097697
50.0,1173,96.400274
75.0,1639,96.851466
110.0,1547,97.298644
130.0,1491,97.744645
155.0,2053,98.308821
285.0,2565,98.974733
420.0,2713,99.67094
290.0,2327,100.287655
160.0,2569,100.935768
95.0,1993,101.44664
210.0,1959,101.949527
65.0,1627,102.393622
520.0,4189,103.627655
120.0,1863,104.10942
55.0,1633,104.529485
150.0,1375,104.871974
90.0,1479,105.250849
45.0,1091,105.527581
75.0,1747,105.967385
185.0,2295,106.549671
105.0,2185,107.096202
210.0,2415,107.78073
75.0,1641,108.259145
210.0,3681,109.214862
125.0,2151,109.747482
75.0,1949,110.259313
165.0,2039,110.760238
80.0,2055,111.274514
255.0,2523,111.896018
70.0,1777,112.35243
30.0,1239,112.72602
65.0,1613,113.162419
245.0,2463,113.767515
50.0,1155,114.10659
110.0,1429,114.522794
155.0,1981,115.020644
185.0,2395,115.634939
80.0,1547,116.040726
135.0,1861,116.551556
55.0,1173,116.850505
360.0,3485,117.828158
155.0,1579,118.262968
105.0,1719,118.712266
260.0,2687,119.397501
210.0,2051,119.992001
185.0,2455,120.637155
180.0,2043,129.352667
15.0,1147,133.114673
105.0,1459,137.102751
135.0,1683,141.999403
330.0,3653,152.699418
90.0,1987,158.064282
125.0,1429,162.018482
30.0,1403,165.854814
120.0,1697,170.715863
180.0,1841,175.866436
215.0,2493,182.876539
110.0,1935,188.482734
120.0,1777,193.674877
30.0,1275,197.24522
105.0,2211,203.638968
65.0,1559,207.870041
155.0,2149,213.944197
370.0,4243,226.096777
135.0,1613,230.625729
210.0,2437,237.373377
110.0,1879,243.00518
215.0,2949,251.172843
110.0,1535,255.313032
335.0,2467,261.97644
35.0,1581,266.437262
75.0,1191,270.287845
530.0,3337,280.087582
210.0,2673,289.370325
75.0,1913,295.86097
110.0,2273,303.475971
35.0,1209,307.409805
250.0,2061,314.604098
80.0,1553,320.002388
100.0,1637,325.851859
